City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Eichstätt,48.8833,11.1833,47.77,93,0,2.3,DE,1632029772
Kungurtug,50.5994,97.5228,69.51,24,5,0.76,RU,1632029774
São Félix do Xingu,-6.6447,-51.995,73.27,61,8,0.18,BR,1632029775
Shingū,33.7333,135.9833,81.59,74,90,4.36,JP,1632029777
Churapcha,62.0025,132.4325,33.89,98,100,14.67,RU,1632029777
Beringovskiy,63.05,179.3167,46.89,73,22,3.67,RU,1632029780
Pastavy,55.1168,26.8326,41.7,95,100,17.9,BY,1632029782
Necochea,-38.5473,-58.7368,48.04,92,2,8.63,AR,1632029783
Cabo San Lucas,22.8909,-109.9124,83.52,79,61,8.16,MX,1632029785
Rio Grande,-32.035,-52.0986,62.29,93,73,6.22,BR,1632029787
Atherton,53.5237,-2.4935,59.49,93,100,1.01,GB,1632029789
Harper,4.375,-7.7169,77.0,85,75,5.91,LR,1632029791
Khao Wong,16.7001,104.0902,89.26,59,30,2.01,TH,1632029793
Tete,-16.1564,33.5867,71.69,68,75,14.97,MZ,1632029793
Santa Maria,-29.6842,-53.8069,60.37,98,31,7.74,BR,1632029795
Tazovsky,67.4667,78.7,41.86,82,92,8.77,RU,1632029797
Esim,4.8699,-2.2405,74.3,93,99,2.64,GH,1632029799
Phak Hai,14.4574,100.3699,89.92,57,42,3.62,TH,1632029801
Klaksvík,62.2266,-6.589,52.72,89,100,18.86,FO,1632029802
Kahului,20.8947,-156.47,76.26,91,75,21.85,US,1632029804
Nioro,13.35,-15.75,75.6,93,99,4.21,GM,1632029805
Egvekinot,66.3167,-179.1667,26.76,92,97,7.14,RU,1632029807
Provideniya,64.3833,-173.3,43.59,86,24,5.35,RU,1632029809
Tevaitoa,-16.7833,-151.5,77.83,77,26,18.28,PF,1632029811
Brae,60.3964,-1.353,58.91,96,94,16.13,GB,1632029813
La Palma,33.8464,-118.0467,70.03,84,1,1.01,US,1632029815
Kuito,-12.3833,16.9333,64.47,72,95,4.23,AO,1632029816
Karoi,-16.8099,29.6925,61.61,69,14,10.71,ZW,1632029818
Bosaso,11.2842,49.1816,87.78,89,40,5.75,SO,1632029820
Safi,32.2994,-9.2372,67.05,81,0,9.44,MA,1632029823
Aykhal,66.0,111.5,37.74,53,16,4.99,RU,1632029825
Lata,40.1629,-8.3327,59.81,91,8,3.56,PT,1632029827
Tocopilla,-22.092,-70.1979,58.42,80,82,1.01,CL,1632029829
Ekhabi,53.5102,142.9671,52.54,54,67,19.22,RU,1632029831
Rawson,-43.3002,-65.1023,49.87,56,11,2.42,AR,1632029833
Pergamino,-33.89,-60.5736,53.91,94,0,7.85,AR,1632029836
Tshela,-4.9833,12.9333,71.33,83,81,1.3,CD,1632029838
Tungor,53.3808,142.9564,52.84,53,65,17.9,RU,1632029840
Kimbe,-5.5502,150.1429,81.63,86,100,0.34,PG,1632029842
Adrar,20.5022,-10.0711,81.73,35,32,13.09,MR,1632029844
Forsytheganj,52.6333,29.7333,47.43,95,100,3.33,BY,1632029845
Bermeo,43.4209,-2.7215,61.48,79,74,13.42,ES,1632029847
Mto wa Mbu,-3.35,35.85,73.49,45,39,6.13,TZ,1632029849
Tottori-shi,35.5,134.2333,77.07,65,20,12.66,JP,1632029851
Yelizovo,53.1873,158.3805,59.14,55,75,6.71,RU,1632029851
Magadan,59.5667,150.8,48.43,84,43,6.2,RU,1632029724
Pacific Grove,36.6177,-121.9166,63.16,91,75,1.99,US,1632029854
Noumea,-22.2763,166.4572,75.18,59,25,17.83,NC,1632029855
Legnica,51.2101,16.1619,53.46,80,40,2.64,PL,1632029856
Vestmannaeyjar,63.4427,-20.2734,48.88,78,41,17.02,IS,1632029858
Mersing,2.4312,103.8405,78.71,94,20,5.75,MY,1632029860
Takāb,36.4009,47.1133,68.43,25,0,5.06,IR,1632029861
Santa Isabel Rio Negro,-0.4139,-65.0192,72.19,99,98,2.24,BR,1632029862
Hokitika,-42.7167,170.9667,51.4,91,100,18.1,NZ,1632029864
Vila Velha,-20.3297,-40.2925,73.35,78,0,9.22,BR,1632029865
Galegos,41.5627,-8.572,56.41,84,31,4.0,PT,1632029867
Kidal,18.4411,1.4078,84.45,16,2,6.46,ML,1632029869
Vuktyl,63.8567,57.3094,37.71,67,98,18.72,RU,1632029871
Gornyy,55.1153,83.9059,49.8,46,96,14.9,RU,1632029873
Cabedelo,-6.9811,-34.8339,72.27,74,24,11.27,BR,1632029877
Betioky,-23.7167,44.3833,67.62,40,21,11.7,MG,1632029879
Port Pirie,-33.1833,138.0167,78.89,28,2,8.55,AU,1632029881
Morón,-34.6534,-58.6198,60.98,98,0,1.01,AR,1632029882
Worland,44.0169,-107.9554,67.68,43,40,4.0,US,1632029884
Jaisalmer,26.9147,70.9181,95.27,39,53,4.61,IN,1632029885
Bāfq,31.6128,55.4107,88.99,8,0,3.31,IR,1632029886
Karratha,-20.7377,116.8463,90.07,19,12,9.91,AU,1632029888
Belyy Yar,53.6039,91.3903,62.49,63,0,4.47,RU,1632029889
Somanda,-3.3667,33.95,74.44,44,52,10.6,TZ,1632029891
Huilong,31.8111,121.655,85.98,78,4,16.15,CN,1632029893
Cody,44.5263,-109.0565,62.4,51,26,7.0,US,1632029893
Hollister,36.8525,-121.4016,63.82,87,90,8.05,US,1632029895
Wewak,-3.5534,143.6268,82.24,79,98,5.48,PG,1632029896
Gimli,50.6336,-96.9907,65.43,77,17,14.97,CA,1632029897
College,64.8569,-147.8028,42.46,64,75,3.44,US,1632029898
Nianzishan,47.5167,122.8833,54.55,75,99,4.76,CN,1632029900
Boden,65.8252,21.6886,41.0,73,100,2.82,SE,1632029901
Chapais,49.7834,-74.8492,47.98,78,100,2.77,CA,1632029903
Kortkeros,61.8106,51.5806,37.4,68,100,10.45,RU,1632029904
Storforshei,66.4043,14.5233,42.66,81,98,4.09,NO,1632029906
Kenora,49.8167,-94.4337,63.79,55,1,14.97,CA,1632029907
Isangel,-19.55,169.2667,77.11,61,75,6.91,VU,1632029909
Venado Tuerto,-33.7456,-61.9688,54.77,88,0,7.85,AR,1632029910
Mombetsu,44.3525,143.3525,64.42,63,20,9.22,JP,1632029817
San Jerónimo,-11.9472,-75.2829,49.01,70,15,1.77,PE,1632029912
Orsha,54.5153,30.4053,44.71,94,100,17.72,BY,1632029914
Kota Belud,6.351,116.4305,89.46,75,41,6.24,MY,1632029620
Varāmīn,35.3242,51.6457,81.82,20,0,3.78,IR,1632029917
Qaqortoq,60.7167,-46.0333,41.5,97,100,6.69,GL,1632029918
Fomboni,-12.28,43.7425,77.09,75,86,22.64,KM,1632029921
Aitape,-3.1374,142.3475,82.15,81,96,4.92,PG,1632029923
Shahrud,36.4182,54.9763,75.11,39,0,8.66,IR,1632029924
Laguna,38.421,-121.4238,67.82,79,90,4.0,US,1632029926
Constantine,36.365,6.6147,71.17,71,1,1.23,DZ,1632029927
Sobolevo,54.4299,31.8996,41.85,95,100,17.58,RU,1632029929
Kovūr,14.4833,79.9833,96.84,36,100,1.57,IN,1632029931
Bartlesville,36.7473,-95.9808,79.36,77,5,7.47,US,1632029931
Vanimo,-2.6741,141.3028,82.87,73,93,5.86,PG,1632029933
Halden,59.1226,11.3871,49.6,70,100,4.23,NO,1632029933
Coroico,-16.1889,-67.7271,70.54,74,86,3.31,BO,1632029935
Bilma,18.6853,12.9164,84.76,17,38,7.34,NE,1632029937
Basingstoke,51.2625,-1.0871,59.13,92,90,3.44,GB,1632029939
Port Keats,-14.25,129.55,88.77,52,18,12.53,AU,1632029941
Sangar,63.9242,127.4739,39.06,68,84,17.98,RU,1632029942
Dunedin,-45.8742,170.5036,50.81,84,100,5.99,NZ,1632029944
Pecos,31.4229,-103.4932,79.3,50,1,5.75,US,1632029945
Ouallam,14.3188,2.0866,81.93,65,63,12.39,NE,1632029946
Kashary,49.04,41.0056,63.82,46,100,19.46,RU,1632029948
Hualmay,-11.0964,-77.6139,59.85,85,49,8.97,PE,1632029950
Dhārchula,29.85,80.5333,81.52,72,49,5.5,IN,1632029953
Conakry,9.538,-13.6773,77.79,86,93,10.83,GN,1632029953
Baijiantan,45.6333,85.1833,85.96,17,20,8.61,CN,1632029955
Acajutla,13.5928,-89.8275,78.21,85,81,4.76,SV,1632029956
Coquimbo,-29.9533,-71.3436,51.53,87,0,3.44,CL,1632029957
Shashi,30.3072,112.2447,71.53,89,99,19.77,CN,1632029959
Hearst,49.6835,-83.6665,46.65,87,59,5.37,CA,1632029960
Opuwo,-18.0607,13.84,65.75,26,3,5.97,NA,1632029961
Hasaki,35.7333,140.8333,77.4,68,92,22.79,JP,1632029963
Benguela,-12.5763,13.4055,70.7,83,98,2.1,AO,1632029964
Koster,-25.863,26.8976,51.8,60,4,12.08,ZA,1632029966
Kununurra,-15.7667,128.7333,94.98,34,40,10.36,AU,1632029709
Antananarivo,-18.9137,47.5361,62.56,72,75,12.66,MG,1632029968
Lakeville,44.6497,-93.2427,70.29,73,1,3.44,US,1632029971
Tsiroanomandidy,-18.7667,46.0333,74.19,48,29,6.31,MG,1632029973
Baie-Comeau,49.2168,-68.1489,54.1,81,1,5.75,CA,1632029974
Senj,44.9894,14.9058,66.72,87,91,5.68,HR,1632029976
Ayorou,14.7308,0.9174,83.77,58,17,10.45,NE,1632029978
Altagracia de Orituco,9.8601,-66.3814,70.02,93,31,3.36,VE,1632029979
Orlik,52.5178,99.825,65.44,31,29,4.23,RU,1632029981
Kargasok,59.0556,80.8572,46.31,68,100,9.51,RU,1632029983
Tarashcha,49.5583,30.4926,56.46,78,22,8.08,UA,1632029985
Dalaba,10.7,-12.25,60.75,94,34,2.77,GN,1632029987
Yeniseysk,58.4497,92.1703,51.76,68,100,5.97,RU,1632029989
Tiarei,-17.5333,-149.3333,75.22,79,53,20.65,PF,1632029991
Ubari,26.5921,12.7805,76.3,22,0,9.06,LY,1632029993
Nampula,-15.1165,39.2666,64.35,94,75,12.66,MZ,1632029994
Kālia,23.0396,89.6328,85.33,76,95,7.61,BD,1632029996
Hauterive,46.0901,3.4459,56.16,95,99,6.17,FR,1632029997
Zapolyarnyy,69.4154,30.8136,40.28,64,70,11.12,RU,1632029999
Itaituba,-4.2761,-55.9836,73.62,82,97,0.63,BR,1632030001
Gigmoto,13.7796,124.39,80.87,85,100,4.29,PH,1632030003
Mezen',65.8522,44.24,42.57,66,99,8.46,RU,1632030004
Luocheng,29.3848,104.0286,81.93,52,78,7.43,CN,1632030006
Palmer,42.1584,-72.3287,68.32,75,20,12.66,US,1632030007
San Quintín,30.4833,-115.95,66.96,81,0,13.87,MX,1632030008
Troitskoye,52.9821,84.6757,60.13,34,80,9.6,RU,1632030009
Todos Santos,23.45,-110.2167,83.01,88,83,2.68,MX,1632030011
San Rafael,-34.6177,-68.3301,58.57,38,0,6.91,AR,1632030013
Gawler,-34.6,138.7333,69.82,42,14,18.81,AU,1632030015
Łazy Bledowskie,50.35,19.4167,46.53,87,100,9.44,PL,1632030016
Faranah,10.0404,-10.7434,69.08,97,59,2.39,GN,1632030018
The Pas,53.8251,-101.2541,62.62,67,75,7.38,CA,1632030020
Njombe,-9.3333,34.7667,60.58,64,61,6.26,TZ,1632030021
Randudongkal,-7.0981,109.3243,87.35,54,59,3.44,ID,1632030023
La Romana,18.4273,-68.9728,76.73,83,16,7.94,DO,1632030024
Kasongo-Lunda,-6.4667,16.8167,74.82,66,82,1.99,CD,1632030026
Herat Province,34.5,62.0,79.83,17,0,15.68,AF,1632030028
Winnemucca,40.973,-117.7357,69.85,17,75,9.22,US,1632030029
Vostok,46.4856,135.8833,50.23,49,96,3.24,RU,1632030031
Marrakesh,31.6315,-8.0083,66.27,82,0,4.61,MA,1632029951
Singaraja,-8.112,115.0882,84.72,60,17,4.38,ID,1632030033
Constitución,-35.3333,-72.4167,47.41,80,18,9.91,CL,1632030033
Kargala,56.6208,83.9607,50.95,67,100,13.47,RU,1632030035
Tegul'det,57.3064,88.1667,51.04,55,100,9.1,RU,1632030037
Lufilufi,-13.8745,-171.5986,83.98,71,14,11.81,WS,1632030039
Dandong,40.1292,124.3947,74.1,73,100,5.75,CN,1632030041
Zhezkazgan,47.8043,67.7144,54.32,27,16,12.68,KZ,1632030042
Bua Yai,15.5855,102.4259,91.18,53,40,4.18,TH,1632030043
Sur,22.5667,59.5289,90.84,50,12,9.22,OM,1632030043
Vanavara,60.34,102.2797,54.61,85,100,7.9,RU,1632030045
Pahrump,36.2083,-115.9839,80.65,11,0,3.0,US,1632030047
Tucumcari,35.1717,-103.725,75.04,46,1,13.8,US,1632030048
Qinzhou,21.95,108.6167,89.64,63,45,10.71,CN,1632030050
Ossora,59.2353,163.0719,52.38,76,100,3.11,RU,1632030050
Bilibino,68.0546,166.4372,24.57,81,28,5.91,RU,1632030052
Borūjerd,33.8973,48.7516,68.54,16,0,2.51,IR,1632030054
São Raimundo das Mangabeiras,-7.0219,-45.4811,74.93,45,2,2.26,BR,1632030056
Cootamundra,-34.65,148.0333,65.95,59,3,12.26,AU,1632030058
Henties Bay,-22.116,14.2845,49.86,90,0,6.91,NA,1632030060
Abu Samrah,35.3029,37.1841,75.52,41,0,6.73,SY,1632030062
Bud,39.447,-86.1758,72.34,92,91,4.23,US,1632030063
Orán,-23.1322,-64.326,69.35,49,74,2.37,AR,1632030065
Nemuro,43.3236,145.575,68.43,84,54,6.78,JP,1632030067
Laichow,37.1717,119.9214,72.81,79,97,12.53,CN,1632030067
Fallon,39.4735,-118.7774,71.38,22,1,5.75,US,1632030068
St. George's,12.0564,-61.7485,76.68,88,20,0.0,GD,1632030070
Salamiyah,35.0113,37.0532,75.11,43,0,5.5,SY,1632030071
